trade_id,side,qty,entry_dt,exit_dt,entry_px,exit_px,entry_name,exit_name,pnl_usd,commission
908,Short,1,2026-04-17 13:18:59+00:00,2026-04-17 13:35:59+00:00,26772.5,26672.25,ShortAtHighPivot,PivotExitShort,198.6,1.9
909,Long,1,2026-04-17 13:35:59+00:00,2026-04-17 13:47:59+00:00,26672.25,26677.0,LongAtLowPivot,PivotExitLong,7.6,1.9
910,Short,1,2026-04-17 13:47:59+00:00,2026-04-17 13:50:59+00:00,26677.0,26699.25,ShortAtHighPivot,PivotExitShort,-46.4,1.9
911,Long,1,2026-04-17 13:50:59+00:00,2026-04-17 13:56:59+00:00,26699.25,26702.25,LongAtLowPivot,PivotExitLong,4.1,1.9
912,Short,1,2026-04-17 13:56:59+00:00,2026-04-17 14:01:59+00:00,26702.25,26748.75,ShortAtHighPivot,PivotExitShort,-94.9,1.9
913,Long,1,2026-04-17 14:01:59+00:00,2026-04-17 14:21:59+00:00,26748.75,26741.0,LongAtLowPivot,PivotExitLong,-17.4,1.9
914,Short,1,2026-04-17 14:21:59+00:00,2026-04-17 14:32:59+00:00,26741.0,26768.75,ShortAtHighPivot,PivotExitShort,-57.4,1.9
915,Long,1,2026-04-17 14:32:59+00:00,2026-04-17 14:56:59+00:00,26768.75,26804.5,LongAtLowPivot,PivotExitLong,69.6,1.9
916,Short,1,2026-04-17 14:56:59+00:00,2026-04-17 14:58:59+00:00,26804.5,26841.25,ShortAtHighPivot,PivotExitShort,-75.4,1.9
917,Long,1,2026-04-17 14:58:59+00:00,2026-04-17 15:14:59+00:00,26841.25,26820.25,LongAtLowPivot,PivotExitLong,-43.9,1.9
918,Short,1,2026-04-17 15:14:59+00:00,2026-04-17 15:31:59+00:00,26820.25,26849.0,ShortAtHighPivot,PivotExitShort,-59.4,1.9
919,Long,1,2026-04-17 15:31:59+00:00,2026-04-17 15:43:59+00:00,26849.0,26835.5,LongAtLowPivot,PivotExitLong,-28.9,1.9
920,Short,1,2026-04-17 15:43:59+00:00,2026-04-17 16:04:59+00:00,26835.5,26833.5,ShortAtHighPivot,PivotExitShort,2.1,1.9
921,Long,1,2026-04-17 16:04:59+00:00,2026-04-17 16:18:59+00:00,26833.5,26828.25,LongAtLowPivot,PivotExitLong,-12.4,1.9
922,Short,1,2026-04-17 16:18:59+00:00,2026-04-17 16:31:59+00:00,26828.25,26871.25,ShortAtHighPivot,PivotExitShort,-87.9,1.9
923,Long,1,2026-04-17 16:31:59+00:00,2026-04-17 17:09:59+00:00,26871.25,26825.5,LongAtLowPivot,PivotExitLong,-93.4,1.9
924,Short,1,2026-04-17 17:09:59+00:00,2026-04-17 17:31:59+00:00,26825.5,26789.5,ShortAtHighPivot,PivotExitShort,70.1,1.9
925,Long,1,2026-04-17 17:31:59+00:00,2026-04-17 18:05:59+00:00,26789.5,26796.25,LongAtLowPivot,PivotExitLong,11.6,1.9
926,Short,1,2026-04-17 18:05:59+00:00,2026-04-17 18:26:59+00:00,26796.25,26803.0,ShortAtHighPivot,PivotExitShort,-15.4,1.9
927,Long,1,2026-04-17 18:26:59+00:00,2026-04-17 18:55:59+00:00,26803.0,26782.0,LongAtLowPivot,PivotExitLong,-43.9,1.9
928,Short,1,2026-04-17 18:55:59+00:00,2026-04-17 19:33:59+00:00,26782.0,26800.0,ShortAtHighPivot,PivotExitShort,-37.9,1.9
929,Long,1,2026-04-17 19:33:59+00:00,2026-04-17 20:55:59+00:00,26800.0,26841.75,LongAtLowPivot,EodExitLong,81.6,1.9
930,Short,1,2026-04-20 00:00:59+00:00,2026-04-20 00:29:59+00:00,26658.25,26652.0,ShortAtHighPivot,PivotExitShort,10.6,1.9
931,Long,1,2026-04-20 00:29:59+00:00,2026-04-20 03:48:59+00:00,26652.0,26682.0,LongAtLowPivot,PivotExitLong,58.1,1.9
932,Short,1,2026-04-20 03:48:59+00:00,2026-04-20 06:03:59+00:00,26682.0,26651.75,ShortAtHighPivot,PivotExitShort,58.6,1.9
