**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_16,IS,9,GENTLE_LINEAR_UP,NONE,0.914231971772328,5.7938757801052105,1737071100,1737071995,14.9,3,GENTLE_LINEAR_UP
2025_01_17,IS,0,NOISE,NONE,-2.0,4.2409269693525244,1737072000,1737076560,76.0,0,NOISE
2025_01_17,IS,0,NOISE,NONE,0.603253448161053,7.294449784386511,1737078400,1737084000,93.3,1,NOISE
2025_01_17,IS,1,GENTLE_CONVEX_UP,BACK_SKEWED,0.9835760203136672,7.505181398696052,1737084000,1737087000,50.0,1,GENTLE_CONVEX_UP
2025_01_17,IS,2,GENTLE_CONCAVE_UP,SYMMETRIC,0.9325911205372894,5.984991630080062,1737087000,1737094955,132.6,1,GENTLE_CONCAVE_UP
2025_01_17,IS,3,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.9689448765610382,5.257058766479017,1737094955,1737099900,82.4,1,GENTLE_CONCAVE_DOWN
2025_01_17,IS,0,GENTLE_CONVEX_UP,BACK_SKEWED,0.9806609393679976,8.715305820555384,1737099900,1737105300,90.0,2,GENTLE_CONVEX_UP
2025_01_17,IS,0,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.8916488464873477,9.64995306083301,1737105300,1737111600,105.0,3,GENTLE_CONCAVE_UP
2025_01_17,IS,1,FLATLINE,NONE,0.0,4.614192452369744,1737111600,1737113100,25.0,3,FLATLINE
2025_01_17,IS,2,NOISE,NONE,0.7054098261985847,8.9228609402796,1737113100,1737116400,55.0,3,NOISE
2025_01_17,IS,3,GENTLE_CONVEX_UP,BACK_SKEWED,0.8782340403205564,9.215872613171696,1737116400,1737118995,43.2,3,GENTLE_CONVEX_UP
2025_01_17,IS,0,STEEP_LINEAR_UP,NONE,0.9187305732772858,14.054135727580285,1737118995,1737119700,11.8,4,STEEP_LINEAR_UP
