timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1775800805,25262.00,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-0.5,1.0,1,
1775800810,25264.00,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-4.5,1.0,1,
1775800815,25262.50,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-1.5,1.0,1,
1775800820,25262.00,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-0.5,1.0,1,
1775800825,25262.00,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-0.5,1.0,1,
1775800830,25261.75,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,0.0,1.0,1,
1775800835,25261.75,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,0.0,1.0,1,
1775800840,25262.25,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-1.0,1.0,1,
1775800845,25263.75,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-4.0,1.0,1,
1775800850,25264.25,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-5.0,1.0,1,
1775800855,25263.75,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-4.0,1.0,1,
1775800860,25264.50,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-5.5,1.0,1,
1775800865,25263.25,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-3.0,1.0,1,
1775800870,25263.00,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-2.5,1.0,1,
1775800875,25264.25,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-5.0,1.0,1,
1775800880,25265.25,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-7.0,1.0,1,
1775800885,25266.00,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-8.5,1.0,1,
1775800890,25267.00,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-10.5,1.0,1,
1775800895,25266.75,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-10.0,1.0,1,
1775800900,25266.25,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-9.0,1.0,1,
1775800905,25266.25,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-9.0,1.0,1,
1775800910,25266.75,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-10.0,1.0,1,
1775800915,25264.75,1.1879,0.4073,0.25,1,short,FADE_AGAINST,2,-6.0,1.0,1,
1775800920,25264.75,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-6.0,1.0,2,CHAIN_ENTRY_RIDE_AGAINST
1775800925,25264.25,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-4.0,1.0,2,
1775800930,25264.50,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-5.0,1.0,2,
1775800935,25263.75,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-2.0,1.0,2,
1775800940,25265.00,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-7.0,1.0,2,
1775800945,25265.25,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-8.0,1.0,2,
1775800950,25265.00,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,-7.0,1.0,2,
1775800955,25262.50,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,3.0,1.0,2,
1775800960,25257.75,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,22.0,8.0,2,
1775800965,25257.25,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,24.0,9.0,2,
1775800970,25260.00,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,13.0,9.0,2,
