day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_07_31,DOWN_SMOOTH,338.5,133,48,-2.5,-14.5,-17.5,39.5,117.0,,45.5,41.0,57.0,73.0,
2025_08_01,DOWN_SMOOTH,337.5,54,22,21.5,9.0,84.5,,205.5,,0.5,16.0,0.5,,
2025_09_16,FLAT_SMOOTH,328.5,561,147,1.0,10.5,166.0,,43.0,,10.0,-23.5,121.5,,
2025_11_05,FLAT_CHOPPY,320.0,146,45,-33.5,-6.0,118.5,37.0,62.5,,5.5,117.5,18.5,,
2025_04_29,FLAT_SMOOTH,316.5,652,183,0.0,17.0,139.0,76.0,70.5,,-77.0,12.5,41.0,37.5,
2025_01_16,DOWN_CHOPPY,314.0,324,90,51.5,133.0,106.0,-38.5,30.0,,-53.0,87.5,-2.5,,
2025_03_06,DOWN_CHOPPY,311.5,123,50,22.0,175.0,264.5,,-332.0,,55.5,82.0,44.5,,
2025_05_02,UP_SMOOTH,300.5,388,134,78.0,-93.0,199.5,21.0,40.0,29.0,-46.0,67.0,5.0,,
2025_04_30,FLAT_CHOPPY,295.0,521,159,-1.5,-81.0,84.0,137.5,143.5,,-16.5,112.5,-83.5,,
2025_09_10,FLAT_CHOPPY,294.5,698,202,,172.0,196.0,,,,-162.0,127.5,-39.0,,
2025_08_04,UP_SMOOTH,277.0,210,79,-3.0,33.5,43.0,44.5,139.0,,15.5,-18.5,23.0,,
2025_03_03,DOWN_SMOOTH,270.5,167,45,,-88.0,115.5,,,,-2.5,91.5,154.0,,
2025_06_15,UP_SMOOTH,265.0,18,10,,104.5,149.0,,,,,11.5,,,
2025_06_20,UP_SMOOTH,259.5,60,37,,32.5,191.0,,,,15.0,-2.5,23.5,,
2025_03_14,UP_SMOOTH,253.5,331,114,0.5,33.0,-45.0,63.5,-40.5,97.5,49.5,70.0,25.0,,
2025_01_29,FLAT_CHOPPY,252.5,408,130,-10.0,74.0,135.0,-8.5,1.5,,28.0,4.5,28.0,,
2025_07_13,FLAT_SMOOTH,251.5,45,18,,67.5,142.5,,,,,46.5,-5.0,,
2025_12_18,UP_CHOPPY,233.0,17,10,0.0,9.5,48.0,55.5,55.5,55.5,,9.0,,,
2025_08_27,FLAT_CHOPPY,228.5,737,203,12.5,41.5,206.0,,-2.5,,-2.5,-40.5,14.0,,
2025_11_04,DOWN_CHOPPY,225.0,233,62,-25.0,-138.0,-41.0,133.0,361.0,64.5,-5.0,-37.0,-87.5,,
2025_06_12,FLAT_CHOPPY,211.0,633,187,-5.0,209.0,184.5,,-102.0,,8.0,-91.0,7.5,,
2025_06_18,FLAT_CHOPPY,195.0,502,126,,105.0,53.5,,,,-7.0,25.0,18.5,,
2025_05_21,FLAT_CHOPPY,190.0,654,187,62.0,289.0,261.0,-14.5,-309.5,,-13.5,-44.0,-26.0,-14.5,
2025_11_12,FLAT_CHOPPY,187.5,559,181,5.0,-39.0,121.0,-49.0,-31.0,-19.0,26.0,88.0,85.5,,
2025_11_06,FLAT_CHOPPY,184.5,299,88,-30.0,118.5,171.0,,-9.5,,-44.5,67.5,-88.5,,
2025_10_01,UP_SMOOTH,182.0,185,53,1.5,17.5,-42.0,40.0,100.0,,19.0,11.5,0.0,34.5,
2025_07_04,DOWN_SMOOTH,181.5,517,152,11.5,1.5,115.0,,16.5,,-30.5,76.5,-9.0,,
2025_06_09,FLAT_SMOOTH,174.5,671,182,,-13.0,35.0,,,,9.0,52.0,91.5,,
2025_08_21,DOWN_CHOPPY,172.0,609,152,-1.0,93.5,268.5,-72.5,-72.5,,-25.0,-91.5,118.5,-46.0,
2025_07_21,FLAT_CHOPPY,167.0,727,205,,8.5,78.5,,,,27.0,17.5,35.5,,
2025_01_08,FLAT_CHOPPY,166.5,337,98,115.5,64.5,37.5,,43.5,,10.0,-86.5,-18.0,,
2025_04_02,FLAT_CHOPPY,164.5,353,112,9.5,41.0,-70.0,0.5,0.5,47.0,45.0,-86.0,177.0,,
2025_08_12,UP_SMOOTH,163.0,508,129,3.0,119.0,118.5,-23.5,-23.5,,-8.0,-141.0,95.5,23.0,
2025_07_11,FLAT_SMOOTH,160.0,673,201,12.0,-95.0,8.5,,6.5,,8.5,132.0,87.5,,
2025_09_15,UP_SMOOTH,159.5,632,203,-36.0,-63.5,29.0,,11.0,,30.0,184.5,4.5,,
2025_04_03,DOWN_CHOPPY,159.0,124,40,-4.0,32.5,152.5,,-71.5,,31.5,13.5,4.5,,
2025_02_10,FLAT_SMOOTH,157.0,258,82,44.5,10.5,90.0,,-110.0,,11.5,90.0,20.5,,
2025_05_12,UP_CHOPPY,157.0,42,14,,52.5,68.5,,,,21.0,-6.0,21.0,,
2025_09_05,FLAT_CHOPPY,153.0,350,108,74.5,-22.0,219.5,44.0,-249.0,,-12.0,14.5,76.0,7.5,
2025_08_29,DOWN_SMOOTH,152.0,435,129,-11.0,12.5,102.0,29.5,-31.0,18.0,18.5,28.0,34.5,-49.0,
2025_04_10,FLAT_CHOPPY,145.5,36,11,-22.5,-16.5,1.5,62.5,144.5,96.0,-82.0,44.0,-82.0,,
